Branch,	Attendance,	Rank of Attendance along Branch (for branch compare)
Virtual,	203979,	1
Central Library,	35240,	2
Flatbush,	6548,	3
New Lots,	6322,	4
Greenpoint,	5681,	5
Clinton Hill,	5462,	6
Sheepshead Bay,	5015,	7
Gerritsen Beach,	4822,	8
New Utrecht,	4807,	9
Borough Park,	4799,	10
Paerdegat,	4285,	11
Carroll Gardens,	4264,	12
Windsor Terrace,	4101,	13
Kensington,	3862,	14
Red Hook,	3696,	15
Adams Street,	3595,	16
Macon,	3092,	17
Williamsburgh,	3007,	18
Coney Island,	2973,	19
Highlawn,	2922,	20
Brower Park,	2902,	21
Brighton Beach,	2729,	22
Jamaica Bay,	2682,	23
Cortelyou,	2599,	24
Kings Bay,	2520,	25
Park Slope,	2511,	26
Dyker,	2495,	27
Kings Highway,	2347,	28
Crown Heights,	2313,	29
Flatlands, 2309,	30
Stone Avenue,	2296,	31
Leonard,	2256,	32
Cypress Hills,	2255,	33
Bedford,	2208,	34
Eastern Parkway,	2121,	35
Sunset Park,	2065,	36
Brooklyn Heights,	2008,	37
Rugby,	1973	38
Midwood,	1952	39
Bushwick,	1907	40
Kidsmobile,	1883	41
DeKalb,	1868,	42
Brownsville	1,791	43
Washington Irving	1,715	44
Mapleton	1,526	45
Canarsie	1,161	46
Mill Basin	1,158	47
Bay Ridge	1,145	48
Pacific	1,110	49
Marcy	1,096	50
Homecrest	928	51
Ulmer Park	896	52
McKinley Park	818	53
Annex	712	54
Walt Whitman	710	55
Clarendon	651	56
Arlington	611	57
Center for Brooklyn History	593	58
Spring Creek	571	59
Gravesend	504	60
Fort Hamilton	358	61
Saratoga	333	62
Ryder	246	63
East Flatbush	190	64
