Year of Year,	Type,	circ tooltip total,	Circ
2021	Physical Circ	5002295	1695425
2020	Physical Circ	8747082	6551678
2019	Physical Circ	12913806	11116522
2018	Physical Circ	13757823	12285522
2017	Physical Circ	14136998	12929627
2016	Physical Circ	14600966	13456669
2015	Physical Circ	15204523	14315315
2014	Physical Circ	15730738	15035600
2013	Physical Circ	17461512	16931687
2012	Physical Circ	19579270	19254167
2011	Physical Circ	20279784	20148596
2010	Physical Circ	19473773	19400867
2009	Physical Circ	17272770	17234665
2008	Physical Circ	16823608	16804826
2007	Physical Circ	16504691	16496552
2006	Physical Circ	15929691	15923239
2005	Physical Circ	14000716	14000716
2004	Physical Circ	10410274	10410274
2003	Physical Circ	10124560	10124560
2002	Physical Circ	11451756	11451756
2001	Physical Circ	11340237	11340237
2000	Physical Circ	10916696	10916696
1999	Physical Circ	10077559	10077559
1998	Physical Circ	10293526	10293526
1997	Physical Circ	9592882	9592882
1996	Physical Circ	10201587	10201587
1995	Physical Circ	10183255	10183255
1994	Physical Circ	9851840	9851840
1993	Physical Circ	9310195	9310195
1992	Physical Circ	8452880	8452880
1991	Physical Circ	8744818	8744818
1990	Physical Circ	8657875	8657875
1989	Physical Circ	8273949	8273949
1988	Physical Circ	8287569	8287569
1987	Physical Circ	8610459	8610459
1986	Physical Circ	9024458	9024458
1985	Physical Circ	9120847	9120847
1984	Physical Circ	8424085	8424085
1983	Physical Circ	7687104	7687104
1982	Physical Circ	6970799	6970799
1981	Physical Circ	6730781	6730781
1980	Physical Circ	6983217	6983217
1979	Physical Circ	6902037	6902037
1978	Physical Circ	6432524	6432524
1977	Physical Circ	6398092	6398092
1976	Physical Circ	7321514	7321514
1975	Physical Circ	7696280	7696280
1974	Physical Circ	7236392	7236392
1973	Physical Circ	7184823	7184823
1972	Physical Circ	7645423	7645423
1971	Physical Circ	7986818	7986818
1970	Physical Circ	8501925	8501925
1969	Physical Circ	8100451	8100451
1968	Physical Circ	8454620	8454620
1967	Physical Circ	9060290	9060290
1966	Physical Circ	9948889	9948889
1965	Physical Circ	10260284	10260284
1964	Physical Circ	10250929	10250929
1963	Physical Circ	10761417	10761417
1962	Physical Circ	10222828	10222828
1961	Physical Circ	9815723	9815723
1960	Physical Circ	9832236	9832236
1959	Physical Circ	9622641	9622641
1958	Physical Circ	9099077	9099077
1957	Physical Circ	8656556	8656556
1956	Physical Circ	9403354	9403354
1955	Physical Circ	8819280	8819280
1954	Physical Circ	8971777	8971777
1953	Physical Circ	8740995	8740995
1952	Physical Circ	7948504	7948504
1951	Physical Circ	7134726	7134726
1950	Physical Circ	5967054	5967054
1949	Physical Circ	5353178	5353178
1948	Physical Circ	5098368	5098368
1947	Physical Circ	4934757	4934757
1946	Physical Circ	4471938	4471938
1945	Physical Circ	4257169	4257169
1944	Physical Circ	4221781	4221781
1943	Physical Circ	4789111	4789111
1942	Physical Circ	5860678	5860678
1941	Physical Circ	0	0
1940	Physical Circ	10164796	10164796
1939	Physical Circ	6725299	6725299
1938	Physical Circ	6717477	6717477
1937	Physical Circ	6155024	6155024
1936	Physical Circ	6175779	6175779
1935	Physical Circ	6638564	6638564
1934	Physical Circ	7052019	7052019
1933	Physical Circ	7968413	7968413
1932	Physical Circ	9304997	9304997
1931	Physical Circ	8177637	8177637
1930	Physical Circ	7438364	7438364
1929	Physical Circ	7006641	7006641
1928	Physical Circ	7077841	7077841
1927	Physical Circ	7166593	7166593
1926	Physical Circ	6650394	6650394
1925	Physical Circ	5950000	5950000
1924	Physical Circ	6083870	6083870
1923	Physical Circ	6069994	6069994
1922	Physical Circ	6040482	6040482
1921	Physical Circ	6072707	6072707
1920	Physical Circ	5479154	5479154
1919	Physical Circ	5333671	5333671
1918	Physical Circ	4954193	4954193
1917	Physical Circ	5994298	5994298
1916	Physical Circ	5349382	5349382
1915	Physical Circ	5875190	5875190
1914	Physical Circ	4994881	4994881
1913	Physical Circ	4583897	4583897
1912	Physical Circ	4380779	4380779
1911	Physical Circ	4236602	4236602
1910	Physical Circ	4066024	4066024
1909	Physical Circ	4063102	4063102
1908	Physical Circ	3869172	3869172
1907	Physical Circ	3242124	3242124
1906	Physical Circ	2927096	2927096
1905	Physical Circ	2579068	2579068
1904	Physical Circ	2095124	2095124
1903	Physical Circ	1614437	1614437
1902	Physical Circ	1306665	1306665
1901	Physical Circ	943895	943895
1900	Physical Circ	86057	86057
1899	Physical Circ	88941	88941
1898	Physical Circ	97530	97530
1897	Physical Circ	95751	95751
2021	Digital Circ	5002295	3306870
2020	Digital Circ	8747082	2195404
2019	Digital Circ	12913806	1797284
2018	Digital Circ	13757823	1472301
2017	Digital Circ	14136998	1207371
2016	Digital Circ	14600966	1144297
2015	Digital Circ	15204523	889208
2014	Digital Circ	15730738	695138
2013	Digital Circ	17461512	529825
2012	Digital Circ	19579270	325103
2011	Digital Circ	20279784	131188
2010	Digital Circ	19473773	72906
2009	Digital Circ	17272770	38105
2008	Digital Circ	16823608	18782
2007	Digital Circ	16504691	8139
2006	Digital Circ	15929691	6452
