Branch Area	Total broadband
Gerritsen Beach	4376
Red Hook	5885
Dyker	6409
Adams Street	6596
Stone Avenue	6800
Sheepshead Bay	7153
Homecrest	7616
Coney Island	7819
Mapleton	8170
New Lots	8340
Pacific	8374
Gravesend	8559
Borough Park	8564
Spring Creek	8688
Brownsville	8910
Jamaica Bay	9180
Ulmer Park	9184
Ryder	9298
Cortelyou	9695
Saratoga	9779
Rugby	9913
Brower Park	10025
Windsor Terrace	10048
Paerdegat	10114
Brooklyn Heights	10132
Canarsie	10202
McKinley Park	10280
Clinton Hill	10312
Carroll Gardens	10641
Arlington	10682
Kensington	11108
Bay Ridge	11114
Flatlands	11255
Midwood	11351
Mill Basin	11388
Eastern Parkway	11492
Marcy	11762
Kings Bay	11811
Leonard	11972
Fort Hamilton	12374
Bedford	12390
Walt Whitman	12471
Washington Irving	12579
Kings Highway	12917
Bushwick	13106
Brighton Beach	14581
Highlawn	14843
Sunset Park	14962
Clarendon	15167
New Utrecht	15216
DeKalb	15254
Cypress Hills	15391
Williamsburgh	15574
Greenpoint	15814
East Flatbush	16257
Park Slope	16740
Macon	19176
Flatbush	20044
Central Library	21790
Crown Heights	23133
